name,rating,address,phone,website,website_phone,email
Hilton Electrical,,,,https://www.hiltonelectrical.com.au,,
O'Brien Electrical Yarraville,5.0,,,http://yarraville.laserelectrical.com.au,1300 761 024,
NJB Electrical Services,5.0,,,http://www.njbelectrical.com.au,,
Staywired Electrical,4.9,,,http://www.staywired.com.au,,
John McEwan Electrical,5.0,,,https://www.johnmcewanelectrical.com.au,,
Hit The Switch,4.7,,,https://hittheswitch.com.au,,
O'Brien Electrical And Plumbing Coopers Plains,5.0,,,https://www.obrien.com.au/members/electrical-and-plumbing-coopers-plains,1800 059 829,
"Royalty Plumbing, Gas & Electrical",5.0,,,http://www.royaltyonline.com.au,1056508 945,
,,,,,,
Solomons Electrics (Lic No. EC004065),5.0,,,https://www.perthelectrical.net.au,,
Martin Chenoweth A/C & Electrical,5.0,,,https://www.martinchenoweth.com.au,,
ElecPlumb,5.0,,,http://www.elecplumb.com.au,(08) 722868,
WCG Electrical,5.0,,,https://wcgcleaning.com.au,,info@wcgcleaning.com.au
Batemans Bay Level 2 Electrician,5.0,,,http://www.southcoastlevel2.com.au,,
Allrange Electrical Services,5.0,"Unit 16 7 Enterprise St, Molendinar, QLD, 4214",,http://www.allrange.com.au,,9581admin@allrange.com.au16
Darwin Electrical Services,4.0,,,https://darwinelectrical.com.au,,
Super Home Services,5.0,,,https://superhomeservices.com.au/geelong/electrician-geelong,1800 969 737,2000info@superhome
Lexity Plumbing & Electrical,5.0,,,https://lexity.com.au,1300 993 447,info@lexity.com.au
Electrx,5.0,,,https://electrx.com.au,0447 139 493,Info@electrx.com.au
Mughul Electrical,5.0,,,https://mughulelectrical.com.au,,
Fixzit Plumbing & Electrical,4.0,,,https://www.fixzit.com.au,15030672,
Kevin McCaw Electrical,5.0,,,http://www.mccawelectrical.com.au,,
Star Plus Electrical,5.0,,,http://www.starpluselectrical.com.au,1800 773 111,111Emailhello@starpluselectrical.com.au
MOD Electrical,4.0,,,http://www.modelectrical.com.au,0418 435 982,info@modelectrical.com.au
Fallon Solutions,4.9,"41 Devlan St, Mansfield, QLD, 4122",,http://www.fallonsolutions.com.au,1300 054 488,
Aussie Electrical Services,4.9,,,https://www.aussieelectricalandplumbing.com.au/#utm_source=Yellow%20Online&utm_medium=Directory&utm_campaign=Website%20Link&utm_content=ELECTRICIAN,1800 957 769,info@aussieservices.com.au
Metropolitan Electrical Contractors,4.6,,,https://www.metropolitanelectrical.com.au/locations/vic/electrician-preston,,
Tanners Electrical Refrigeration and Air Conditioning,3.8,"76 Adelaide St, Maryborough, QLD, 4650",,http://www.tannerselectrical.com,,
LiveWire Electrical & Design,5.0,,,http://www.lwire.com.au,0438 560 235,info@lwire.com.auAustralian
Speedy Electrical,5.0,,,http://www.speedyelectrical.com.au,,
Matt Farrell Electrical Pty Ltd,5.0,,,http://www.mattfarrellelectrical.com.au,0422 504 229,
BayCoast Electrical & Control Solutions Pty Ltd,4.7,,,http://www.baycoasteacs.com.au,0433 083 013,admin@baycoasteacs.com.au
Precise Plumbing & Electrical,5.0,"101-102 Frederick St, Welland, SA, 5007",,http://www.preciseservices.com.au,,
Johnstone Electrics,4.9,,,http://www.johnstoneelectrics.com.au,0418 337 686,johnelect@bigpond.com
