name,rating,address,phone,website,website_phone,email
Quaite Electrical,,,0419 672 951,,,
O'Brien Electrical Yarraville,5.0,,(03) 9283 7810,http://yarraville.laserelectrical.com.au,1300 761 024,
NJB Electrical Services,5.0,,(03) 9560 0003,http://www.njbelectrical.com.au,,
Staywired Electrical,4.9,,(02) 8315 3250,http://www.staywired.com.au,,
John McEwan Electrical,5.0,,(02) 4260 6892,https://www.johnmcewanelectrical.com.au,,
Hit The Switch,4.7,,1300 181 970,https://hittheswitch.com.au,,
O'Brien Electrical And Plumbing Coopers Plains,5.0,,(07) 3277 7345,https://www.obrien.com.au/members/electrical-and-plumbing-coopers-plains,1800 059 829,
"Royalty Plumbing, Gas & Electrical",5.0,,(08) 6350 6019,http://www.royaltyonline.com.au,1056508 945,
,,,,,,
Solomons Electrics (Lic No. EC004065),5.0,,(08) 9416 5816,https://www.perthelectrical.net.au,,
Martin Chenoweth A/C & Electrical,5.0,,0414 390 880,https://www.martinchenoweth.com.au,,
ElecPlumb,5.0,,(08) 7228 6868,http://www.elecplumb.com.au,(08) 722868,
WCG Electrical,5.0,,(02) 4288 0544,https://wcgcleaning.com.au,,info@wcgcleaning.com.au
Batemans Bay Level 2 Electrician,5.0,,0429 379 049,http://www.southcoastlevel2.com.au,,
Allrange Electrical Services,5.0,"Unit 16 7 Enterprise St, Molendinar, QLD, 4214",(07) 5564 9581,http://www.allrange.com.au,,9581admin@allrange.com.au16
Darwin Electrical Services,4.0,,0438 042 967,https://darwinelectrical.com.au,,
Super Home Services,5.0,,1800 800 444,https://superhomeservices.com.au/geelong/electrician-geelong,1800 969 737,2000info@superhome
Lexity Plumbing & Electrical,5.0,,1300 993 447,https://lexity.com.au,1300 993 447,info@lexity.com.au
Electrx,5.0,,0432 376 469,https://electrx.com.au,0447 139 493,Info@electrx.com.au
Mughul Electrical,5.0,,0403 386 009,https://mughulelectrical.com.au,,
Fixzit Plumbing & Electrical,4.0,,(07) 3344 4665,https://www.fixzit.com.au,15030672,
Kevin McCaw Electrical,5.0,,(02) 4956 8061,http://www.mccawelectrical.com.au,,
Star Plus Electrical,5.0,,1800 929 040,http://www.starpluselectrical.com.au,1800 773 111,111Emailhello@starpluselectrical.com.au
MOD Electrical,4.0,,0400 461 558,http://www.modelectrical.com.au,0418 435 982,info@modelectrical.com.au
Fallon Solutions,4.9,"41 Devlan St, Mansfield, QLD, 4122",(07) 3029 6319,http://www.fallonsolutions.com.au,1300 054 488,
Aussie Electrical Services,4.9,,(02) 9119 7893,https://www.aussieelectricalandplumbing.com.au/#utm_source=Yellow%20Online&utm_medium=Directory&utm_campaign=Website%20Link&utm_content=ELECTRICIAN,1800 957 769,info@aussieservices.com.au
Metropolitan Electrical Contractors,4.6,,1300 403 835,https://www.metropolitanelectrical.com.au/locations/vic/electrician-preston,,
Tanners Electrical Refrigeration and Air Conditioning,3.8,"76 Adelaide St, Maryborough, QLD, 4650",(07) 4121 6295,http://www.tannerselectrical.com,,
LiveWire Electrical & Design,5.0,,0438 560 235,http://www.lwire.com.au,0438 560 235,info@lwire.com.auAustralian
Speedy Electrical,5.0,,(07) 3882 6996,http://www.speedyelectrical.com.au,,
Matt Farrell Electrical Pty Ltd,5.0,,0422 504 229,http://www.mattfarrellelectrical.com.au,0422 504 229,
BayCoast Electrical & Control Solutions Pty Ltd,4.7,,0433 083 013,http://www.baycoasteacs.com.au,0433 083 013,admin@baycoasteacs.com.au
Precise Plumbing & Electrical,5.0,"101-102 Frederick St, Welland, SA, 5007",(08) 8152 6768,http://www.preciseservices.com.au,,
Johnstone Electrics,4.9,,(03) 9390 3665,http://www.johnstoneelectrics.com.au,0418 337 686,johnelect@bigpond.com
Allen Gillespie Electrical Pty Ltd,5.0,"38 North St, Maryborough, QLD, 4650",(07) 4121 3038,https://www.allengillespieelectrical.com.au,07 412130,sales@allengillespie.com.au
Elvery's Electrical Service Pty Ltd,5.0,"19 McLean St, Bundaberg, QLD, 4670",(07) 4151 3148,https://elveryselectrical.com,,
Mr Emergency,5.0,,1300 355 547,https://www.mremergency.com.au/service-areas/sa/electrician-adelaide,1300 164 064,
,,,,,,
,,,,,,
Mr Emergency,,,1300 355 547,https://www.mremergency.com.au/service-areas/sa/electrician-adelaide,1300 164 064,
Hilton Electrical,4.5,,(08) 9416 5706,https://www.hiltonelectrical.com.au,,
Keith Atkinson Electrical,,,(07) 5445 2493,https://kaelectricians.com.au,,hello@kaelectricians.com.au
O'Brien Electrical,,,(08) 7723 2300,https://www.obrien.com.au/locations/electrical-and-plumbing/o'brien-electrical-mount-gambier,,
Top End R.A.C.E,,,(08) 8946 5400,https://www.topendrace.com.au,,
Hudson Electrical,,,0411 342 719,https://hudsonelectricalnb.com.au,0411 342 719,
Kris Electrical Services,,"10 Lipson St, Port Adelaide, SA, 5015",0408 876 445,http://www.kriselectricalservices.com.au,0408 876 445,
John W Youings Co Pty Ltd,,,0419 104 510,http://www.youingselectricalservices.com.au,,
,,Start by browsing through our online directory to find electricians in your area,,,,
D B Electrical Pty Ltd,5.0,,(07) 2103 3930,http://www.dbelectrical.com.au,,
Thomson Refrigeration & Air Conditioning,5.0,,(07) 5462 2307,https://www.thomsonrac.com.au,35 155 843,sales@thomsonrac.com.auOpening
After Hours Electrical,4.8,,0427 539 978,https://afterhourselectrical.com.au/locations/sa/electrician-adelaide,,
Allround Electrical Service,5.0,,(07) 3808 5553,http://www.allroundelectricalservices.com.au,,
Johnstone Electrical & Sunvalley Solar,,"20 Watson St, Shepparton, VIC, 3630",(03) 5829 2557,https://www.johnstoneelectrical.com.au,,admin@johnstoneelectrical.com.au
Ferguson's Electrical & Air,5.0,,0488 443 711,http://www.fergusonselectrical.com.au,1300 295 811,info@cqelectricalgroup.com.au
Cooranbong Electrical Services,,,0416 150 394,https://www.cooranbongelectrical.com.au,,
Ardina Electrical (Northwest) Pty Ltd,5.0,"8 Denison St, Tamworth, NSW, 2340",(02) 6762 7111,https://www.ardinaelectricalnw.com.au,67 627 111,info@ardinaelectricalnw.com.au
Aus-Tech Electrical & Automation Pty Ltd,,,(03) 9364 9683,https://www.austech.net.au,,
Click Control Systems,,"48- 50 Vains St, Bendigo, VIC, 3550",1800 664 078,https://www.clickcontrol.com.au,1800 664 078,
Stuckey Electrical Contractors,,,(08) 8725 1595,http://www.stuckeyelectrical.com.au,,
Campbelltown Electrical,5.0,,(02) 4626 5018,http://www.campbelltownelectrical.net.au,,
Cyber Electrical,4.9,,1300 351 650,https://cyberelectrical.com.au/locations/sa/electrician-adelaide,,
Gealys Electrical,5.0,,(07) 5455 5695,https://gealyselectrical.com.au,,
Sparkrite Electrical,,,(07) 3287 7200,https://www.sparkriteelectrical.com.au,,
Urban Energy Electrical Contractors,,,1300 720 940,http://www.urbanenergytas.com.au,,
Powerlec Electrical And Data Pty Ltd,1.0,,(08) 9750 5203,https://powerlec.com.au,,
R W Coulthard Electrical Services PTY LTD,,,0428 825 275,https://www.rwcoulthardelectrical.com.au,,
Shoalhaven Coast Electrical,5.0,,0410 535 878,https://shoalhavencoastelectrical.com.au,0410 535 878,
Verlindens Electrical Service (WA),5.0,,(08) 9622 1238,http://www.verlindenselectrical.com.au,,
Level Electrical & Air Tamworth,5.0,"2/ 85 Barnes St, Tamworth, NSW, 2340",(02) 6762 2261,https://levelau.com.au/electrician-tamworth,83 106 271,tamworth@levelelectrical.com.au
Urban Electrics Pty Ltd,5.0,,0418 375 179,https://www.urbanelectricsmelbourne.com.au,,
N. & K. Electrical Contractors Pty Ltd,,"107 Windham St, Wallan, VIC, 3756",0418 569 953,http://nkelectrical.com.au,0418 569 953,
O’Brien Electrical Warrnambool,5.0,,(03) 4505 2062,https://www.electricianwarrnambool.com.au,,
Gold Coast City Electrical,,,(07) 5573 2111,http://www.goldcoastcityelectrical.com.au,153 875 186,info@gcce.com.au
AAA Electrical (Newcastle) Pty Ltd,,,0418 672 827,http://www.aaaelectrical.com.au,,
O'Brien Electrical Mildura,,,(03) 5024 5378,https://www.obrien.com.au,1800 059 829,
Care Technical Services,5.0,,0434 111 450,http://www.caretechnicalservices.com.au,,
,,,,,,
,,,,,,
Hudson Electrical,,,0411 342 719,https://hudsonelectricalnb.com.au,0411 342 719,
Smarterlec NQ Pty Ltd,5.0,,0417 930 945,http://www.smarterlec.com,0417 930 945,
Paul Wiedman Electrical,5.0,,(07) 4633 7766,http://www.wiedmanelectrical.com.au,,
Dwyer Gold Class Electricians,5.0,,(02) 6581 7016,https://www.dwyergold.com.au,,
McGrath Electrical & Data,5.0,,(02) 6642 4170,http://mcgrathelectricaldata.com.au,,
Power State Electrical Pty Ltd,5.0,,0427 049 387,https://www.facebook.com/PowerStateElec,,
Switched On Electrical Services,,,(02) 6231 9020,http://soes.com.au,,
WR & EL Jones Electrical Contractors Pty Ltd,,,(03) 5143 2762,http://www.joneselect.com.au,,
,,,,,,
Dobson Electrical Pty Ltd,,,(03) 6425 5776,http://www.dobsonelectrical.com.au,,
Kevin R Sheather (Northern) Pty Ltd,,,(02) 4321 8505,http://www.kevinsheather.com.au,,
Laser Electrical Swan Hill,,"169A Karinie St, Swan Hill, VIC, 3585",(03) 5032 2250,https://swanhill.laserelectrical.com.au,,
Bathurst Electrical,5.0,,(02) 6334 4888,http://bathurstelectrical.com.au,,info@bathurstelectrical.com.au
Contracting Kings,5.0,,1300 240 636,http://www.contractingkings.com.au,1300 240 636,info@contractingkings.com.au
Apollo Lighting Service Pty Ltd,,,(08) 7007 6203,https://apollolighting.com.au,,
Polar Industries Electrical & Airconditioning,,,(07) 4417 2106,http://www.polarindustries.com.au,47 282 514,Reception@polarindustries.com.au
BP Industrial Electricians,,,0411 233 442,https://www.bpindustrial.com.au,,admin@switchelec.com.au
Power By Watts,,,(02) 4868 2834,https://www.powerbywatts.com.au,0488 853 866,2834admin@powerbywatts.com.auSouthern
HOTT Electrics,,,0401 036 355,https://www.hottelectrics.com.au,0483 961 110,communication.Emailinfo@hottelectrics.com.auPhone0483
Brett Hardwick Electrical,,,0409 271 300,http://www.bretthardwickelectrical.com,0409 271 300,contactbrett@bretthardwickelectrical.comElectrical
Taylored Power Solutions,,,0417 818 707,https://taylored-power-solutions.business.site,,
A S Farr Pty Ltd,2.7,"369 Argyle St, North Hobart, TAS, 7000",(03) 6231 0275,http://www.farrelectrical.com.au,15608806,
Ben Hagney Electrical,,,0499 996 501,http://www.bhe.net.au,,
Scott Wilds Electrical,,,0407 360 676,https://www.scottwildselectrical.com.au,,
Gosling Electrical,,,(02) 6652 3283,https://www.goslingelectrical.com.au,,
Col Groves Electrics Pty Ltd,,,(02) 6686 0148,http://www.colgroveselec.com,,
TCB Electrical Services,,,0437 677 441,http://www.tcbelectricalservices.com.au,0429 348 000,contact@tcbelectricalservices.com.au
M.R. Electrix (SA),,"11 Lennon St, Clare, SA, 5453",(08) 8842 2022,http://www.mrelectrix.com.au,,
GBE Group,,,(02) 4058 1016,https://www.gbegroup.com.au,000102918,office@gbelectrical.com.au
Lectrix Group,,,0421 466 720,https://lectrixgroup.com.au,0421466720,info@lectrixgroup.com.au
Shane Hill Electrical Pty Ltd,,"5-9 Finlayson St, Devonport, TAS, 7310",(03) 6498 8308,http://www.shelectrical.com.au,,
All Electrical & Refrigeration Services Pty Ltd,1.0,"1 Tennyson Street, Mackay, QLD, 4740",(07) 4942 1106,http://www.allelectrical.com.au,,
A. E. Roberts Electrical,,,(03) 9764 3688,http://www.aeroberts.com.au,0419 546 929,office@aeroberts.com.au
G. James Electrical,,,0400 787 948,http://www.gjameselectrical.com.au,0400 787 948,admin@gjameselectrical.com.au
Hub Electrical Solutions,5.0,,0422 557 120,http://www.hubelectrical.com.au,0422 557 120,
Hunter Valley Welding Hire,,,(02) 8311 0525,https://hvwh.com.au,1300 484473,
KMF Electrical and Solar,,,0419 405 508,http://www.kmfelectrical.com.au,,
,,,,,,
,,,,,,
Mr Emergency,,,1300 355 547,https://www.mremergency.com.au/service-areas/sa/electrician-adelaide,1300 164 064,
Tartan Electrical & Maintenance,5.0,,0431 406 259,https://tartanelectrical.com,6143140625,tartanelectrical@gmail.com
Moore Electrical Connections,,,0400 802 774,http://www.moore-electrical.com.au,,
Mick Sawtell Electrical & Data,,"157 Union St, South Lismore, NSW, 2480",(02) 6622 9291,https://micksawtellelectrical.com.au,,
Holders Electrical,,,0400 705 383,http://www.holderselectrical.com.au,,
Strybos & Sons Electrical Pty Ltd,,"Shop 1/ 11-13 Darling St, Ipswich, QLD, 4305",0417 197 293,http://www.strybos-electrician.com.au,,
R & J Sides Electrical,,,(03) 5448 3047,http://www.rjsideselectrical.com.au,,
KACE Electrical Solutions,5.0,,0438 125 001,http://www.kaceelectricalsolutions.com.au,0421 971 784,admin@kaceelectricalsolutions.com.au
,,Start by browsing through our online directory to find electricians in your area,,,,
Robertson Brothers Electrical Services,5.0,,0417 800 480,http://www.rbes.net.au,0417 800 480,robertson_bros@hotmail.com
FAW Electrical,,,0412 423 619,http://www.fawelectrical.com.au,,
Frog Electrical & Air Conditioning,,,(07) 3497 4671,https://www.frogelectrical.com.au,5646078469,admin@frogelectrical.com.auService
Precision Power & Electrical,,,0499 773 773,http://www.precision-power.com.au,,
Loader Electrical,,,0437 311 233,https://www.facebook.com/loader.electrical2015,,
Level Electrical Launceston,,,(03) 6331 8899,https://levelau.com.au/electrician-launceston,54 060 425,launceston@levelelectrical.com.au
WF Electrical,,,0405 577 403,https://www.wfelectricalcontractors.com.au,,
Gillett Electrical,,,(07) 5491 2064,http://www.gillett.com.au,,E-mailadmin@gillett.com.au
O'Brien Electrical Moonah,,,(03) 6289 7789,https://www.obrien.com.au/members/electrical-moonah,1800 059 829,
Entire Trades Pty Ltd,,,(02) 4905 0901,http://www.entiretrades.com.au,,
D Squared Electrical Pty Ltd,,,1300 377 827,https://www.dsquaredelectrical.com.au,,info@dsquaredelectrical.com.au
RJM Electrical Contractors,,,0401 568 148,https://rjmelectrical.com.au,0401 568 148,148info@rjmelectrical.net
