name,rating,address,phone,website,website_phone,email
Crafers Auto Service & Repair,,,(08) 8339 1488,http://mitchamauto.com.au/crafers-auto.html,,
P & M Performance & Mechanical,5.0,"219 Scott St, Bungalow, QLD, 4870",(07) 4041 5111,https://www.pmmechanicalcairns.com.au,,
Auto Express Service Centre & Mobile Mechanics,5.0,,(03) 5275 8027,http://www.autoexpress.net.au,,
Bridgestone Select Tyre & Auto,5.0,,(03) 9059 1978,https://www.bridgestonetyres.com.au/frankston,,
Scarboro Toyota,2.3,,1800 645 066,http://www.scarborotoyota.com.au,,fnyrf@fpneobebgblbgn.pbz.nh
AutoBahn Mechanical & Electrical Services East Vic Park,5.0,"Mechanics & Motor Engineers, St James, WA 6102",(08) 9470 9998,https://autobahn.net.au,,
Sunshine Coast 4WD Centre,5.0,,(07) 5353 5459,http://www.ssc4wd.com.au,0402 729 578,blake@ssc4wd.com.au
Vince Williams Mechanical Repairs,5.0,,(02) 4256 1717,http://www.vincesworkshop.com.au,,
,,,,,,
Auto Stop,,,(07) 3027 1523,http://www.autostop.com.au,,autostop@autostop.com.au
Vince Williams Mechanical Repair,,,(02) 4256 1717,https://www.vincesworkshop.com.au,,
Noel Barr Toyota,5.0,,(08) 8725 8155,http://www.noelbarrtoyota.com.au,,
Port Adelaide Auto Repairs,,,(08) 8341 2820,http://www.portadelaideauto.com.au,,
Coomera Car Care,,"30/ 3 Dalton St, Upper Coomera, QLD, 4209",(07) 5573 7922,http://www.coomeracarcare.com.au,32 633 139,
Tyre Professionals,,,(03) 9310 2334,http://www.tyreprofessionals.com.au,,
Bowen Hills Exhaust & Car Care,,,(07) 3252 5260,http://www.bhecc.com.au,,info@bhecc.com.au
Barry Cooper Auto Repairs Pty Ltd,5.0,"82 Federal St, North Hobart, TAS, 7000",(03) 6234 2482,http://www.barrycooperauto.repcoservice.net,,
Silver Spanner Mechanics,5.0,,0400 219 143,http://www.silverspannermechanics.com.au,,
JAP Motors,,,(07) 4775 2399,http://www.japmotors.com.au,,
1st Choice Mechanical Repairs &Tyres,,"30 Swan St, Wollongong, NSW, 2500",0435 808 380,http://www.wollongongmechanical.com.au,,
Towers Automotive,5.0,,(07) 4787 2011,http://www.towersautomotive.com.au,,
Newcastle Auto Electrics & Mechanical,,"111 Bourke St, Carrington, NSW, 2294",(02) 4064 1016,http://nae.com.au,,
Eastern Shore Radiator Repairs,5.0,,(03) 6243 6000,http://easternshoreradiators.com.au,,
Kostera's Tyre Service,3.0,"7 Mead St, Kalamunda, WA, 6076",(08) 9290 5110,http://www.kostera.com.au,,
Blue Ribbon Motors,,,(07) 3280 3400,http://www.blueribbonmotors.com.au,,
Carite Auto Repairs,5.0,,1300 797 608,http://www.cariteautorepairs.com.au,,
Mechanical World,,"362 Edward St, Wagga Wagga, NSW, 2650",(02) 6925 2733,https://www.mechanicalworld.com.au,,
Express Mobile Mechanics & Auto Electricians,5.0,,(03) 9725 6622,http://www.expressmobilemechanics.com.au,,
Gerry Wubbels Automatics Pty Ltd,,,(02) 4033 7664,http://www.gerrywubbelsautomatics.repcoservice.net,,
Bips Automotive Service Centre,,,(07) 4721 2573,http://www.bipsautomotive.com.au,,
Adrian's Autos,,,(07) 5524 4183,http://adriansautos.com.au,,
Soutars Garage,5.0,"16 Alfred St, Warragul, VIC, 3820",(03) 5623 1758,http://www.soutarsgarage.com.au,,
Drouin Automotive Services PTY LTD,5.0,,(03) 5625 4004,https://www.drouinautomotive.com.au,,
Camden Tyre Service,5.0,"39 Elizabeth St, Camden, NSW, 2570",(02) 4655 7001,https://www.camdentyreservice.com.au,,
Pace Auto Werks,5.0,"513 Newcastle St, West Perth, WA, 6005",(08) 9228 8086,http://www.paceautowerks.com.au,,
Foster's Ace Auto Repairs,,"38 Charles Street, Aitkenvale, QLD, 4814",(07) 4779 0419,http://www.fostersace.com.au,,
All Four X 4 Service Centre,,"6 McDougall St, Kotara, NSW, 2289",(02) 4956 2649,http://www.allfourx4.com.au,,
,,,,,,
,,,,,,
Bridgestone Service Centre,,,13 1229,https://www.bridgestonetyres.com.au/silverwater,,
Bridgestone Select Tyre & Auto,,,13 1229,http://www.bridgestonetyres.com.au,,
